LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,BAD
3200,67848,74566,1,2,10,0,1,206.4266021,0,25,40.11567728,0
3200,27200,40834,1,6,8.027802491,0,0,298.131564,0,7,35.55353879,1
3200,54000,64850,1,6,1,0,0,121.8666667,3,21,39.38764489,1
3200,74864,87266,1,4,7,0,0,250.6312692,0,12,42.90999735,0
3300,126541,134527,1,3,9,1,0,139,0,36,39.38764489,1
3400,37000,52000,1,1,2,0,1,183.2999156,0,6,39.38764489,1
3500,23200,38666,1,6,11,0,0,162.3666667,0,14,39.38764489,1
3500,19400,20494,1,6,5,0,0,95.93333333,0,9,39.38764489,1
3600,61584,61800,1,4,10,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
3600,41900,52490,1,2,3,0,0,72.03333333,2,4,39.38764489,1
3600,83700,111800,1,4,6,0,0,192.7333333,1,28,33.25312863,0
3600,61327,76484,1,2,9,0,2,202.5107752,0,25,41.5163897,0
3600,100693,114743,1,1,6,0,0,88.47045214,0,14,29.39354338,0
3600,52337,63989,1,1,20,0,0,204.2724988,0,20,20.47091551,0
3700,17857,21144,1,6,5,0,0,129.7173231,1,9,26.63434752,1
3800,51180,63459,1,1,20,0,0,203.7515336,0,20,20.06704205,0
3800,74829.24905,73189,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,22.25394916,0
3800,11543,46045,1,5,9.154940986,0,0,204.6479917,0,11,42.17316588,0
3900,29896,45960,1,6,11,0,0,146.1232422,0,14,24.47888119,1
3900,14500,22092,1,6,3.5,0,1,150.3,5,8,39.38764489,1
3900,102143,118742,1,1,2,0,0,85.27736558,0,13,29.34392109,0
3900,21200,39000,0,2,4,0,1,86.56666667,2,14,39.38764489,1
4000,105164,112774,1,1,1,0,0,94.72487417,0,13,29.39092806,0
4000,54543,61777,1,1,21,0,0,205.58668,0,19,21.80656346,0
4000,69460.45297,80609,1,6,1.5,0,2,126.5333333,3,12,39.38764489,1
4000,26572,31960,1,1,11,0,0,117.7951039,0,8,41.28649195,1
4000,29562,37200,0,6,6,0,0,92.13333333,1,26,39.38764489,1
4000,41700,76725,1,6,0.5,0,3,136.1333333,0,15,39.38764489,1
4000,58000,69440,1,6,3.5,0,1,168.6666667,0,18,39.38764489,1
4000,5700,18000,0,6,8.027802491,0,0,12.2,0,17,39.38764489,1
4000,45000,58350,1,2,3.5,0,0,162,3,16,39.38764489,1
4000,7000,16020,1,6,18,0,1,85.8,2,23,39.38764489,1
4000,66000,79050,1,6,1.8,2,0,279,1,6,33.25312863,0
4000,74829.24905,45760,1,6,0,0,0,187.0023549,0,0,33.25312863,0
4000,62000,78000,1,6,4,0,0,109.5666667,0,15,33.25312863,0
4000,64240,63990,1,3,5,2,0,160.3,1,23,33.25312863,0
4000,74000,93000,1,4,2.6,1,3,186.6333333,1.782764811,9,39.38764489,1
4000,55000,59000,0,6,12,2,0,146.1,0,22,39.38764489,1
4000,67625,80698,1,2,11,0,1,212.3493039,0,25,39.12871763,0
4000,67533,71865,1,2,10,0,2,227.7929884,0,25,39.1663287,0
4100,69460.45297,19132,1,6,0,0,0,100.7746522,0,19,33.8409199,1
4100,58500,65000,1,6,8,1,2,63.93333333,2,15,39.38764489,1
4200,56544,59218,1,1,19,0,0,211.0025991,1,20,19.02770443,0
4200,34800,50225,1,6,2,1,0,93.5,1,5,39.38764489,1
4200,67700,77000,0,3,4,0,0,128.8333333,0,31,33.25312863,0
4200,44000,55085,0,6,6,0,1,75.43333333,1.032749077,16,33.25312863,0
4200,66272,82953,1,6,3,0,0,110.2786626,0,15,43.45058791,0
4200,50216,58541,1,1,19,0,0,209.8713022,0,19,20.20803267,0
4300,71206,78698,0,3,3,0,0,129.932869,0,31,34.18137652,0
4300,68815,79852,1,6,6,0,0,105.1207088,0,14,41.80637615,0
4300,72021,80027,1,6,2,2,0,263.9703003,0,5,36.43209394,0
4400,53969,63869,0,4,7,0,3,162.3900107,0,30,23.58107924,0
4400,74829.24905,60250,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
4400,53091,64074,0,1,14,1,3,89.86105825,0,17,39.15808483,1
4500,66127,79087,1,6,4,1,0,81.3490651,0,15,40.70530876,0
4500,74829.24905,77182,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,25.2272529,0
4500,39000,66000,1,6,1,0,0,170.3666667,1,19,39.38764489,1
4500,71082,79247,1,6,4,0,0,118.7604101,0,14,41.42111052,0
4500,57000,98172.84623,1,6,5,0,0,222.6,1,13,39.38764489,1
4500,34184,46000,1,2,3.5,0,1,122.6,2,22,39.38764489,1
4500,45500,50000,1,6,6,0,0,86.16666667,0,18,33.25312863,0
4500,118000,146870,1,4,4.5,2,0,203.8666667,1,20,39.38764489,1
4500,90000,105800,1,6,6,2,3,80.1,3,10,39.38764489,1
4700,67913,97205,0,2,2,0,0,142.8243915,0,24,35.22699719,0
4700,71855,88566,1,6,2,2,0,283.9595381,0,5,36.47547328,0
4700,53918,59511,0,6,6,0,0,54.13647743,1.032749077,15,34.41650781,0
4700,49100,58238,1,4,0.1,0,0,61.8,2,17,39.38764489,1
4700,88026,115506,1,4,6,0,0,182.2483316,0,27,29.20902258,0
4700,26900,45000,1,4,9,1,2,90.46666667,1,16,39.38764489,1
4800,67317,97191,0,2,3,0,0,137.3197248,0,23,34.27529378,0
4800,56067,63102,0,4,9,0,3,160.1463113,1,30,21.58376012,0
4800,80482,88342,1,4,7,0,0,275.0323948,0,11,43.71763511,0
4900,58688,63348,0,4,9,0,3,179.1625747,2,31,22.54439284,0
4900,65873,90408,0,2,2,0,0,141.858999,0,23,37.76961861,0
4900,25597,23031,1,6,5,0,0,101.7467664,0,8,33.24315698,1
4900,67794,84630,1,6,4,0,0,112.5734189,0,15,41.67399636,0
4900,44000,59745,1,6,10,0,0,81.5,3,13,39.38764489,1
4900,74829.24905,28437.5,1,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
4900,65576,65774,1,6,6,1,2,61.64250608,1,14,40.59091002,1
4900,74829.24905,69706,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.70558774,0
5000,74829.24905,34846,1,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.35465263,0
5000,47479,61690,0,6,5,0,0,65.03296901,1.032749077,16,36.69941492,0
5000,66839,87168,1,6,4,0,0,122.5972226,0,15,40.61677935,0
5000,12457,53448,1,5,9.154940986,0,0,207.1434813,0,12,44.10795169,0
5000,90059,113714,1,4,7,0,0,193.6364469,0,28,25.89731648,0
5000,22320,34900,1,6,10,0,0,65.7,1,5,39.38764489,1
5000,40000,70500,1,2,0.4,0,0,61.76666667,2,8,39.38764489,1
5000,100882,102700,1,2,5,0,1,58.86666667,0,16,39.38764489,1
5000,31000,47350,1,4,12,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5000,63125,126500,1,1,3,0,0,100.3,0,14,39.38764489,1
5000,100000,129693.5,1,2,13,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5000,69460.45297,132000,1,6,17.5,0,2,121.9,0,14,39.38764489,1
5000,69460.45297,9100,1,6,1,0,0,54.73333333,2,8,39.38764489,1
5000,34200,50830,1,6,6,0,0,57,1,9,39.38764489,1
5000,69460.45297,71277,1,6,10,0,0,72.43333333,1,12,39.38764489,1
5000,123000,157500,1,2,9,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5000,16600,25250,1,6,6,0,0,88.7,1,3,39.38764489,1
5000,69460.45297,52000,1,6,8.027802491,0,1,285.3333333,0,6,39.38764489,1
5000,22700,34225,1,6,4,0,0,74.63333333,3,9,39.38764489,1
5000,6000,38575,1,5,7,0,1,335.0333333,3,42,39.38764489,1
5000,69460.45297,74500,1,6,19,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5000,69460.45297,94119,1,6,19,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5000,73126,87500,0,6,1,0,0,125.9666667,2,10,33.25312863,0
5000,72517,86250,0,2,19,0,1,300.3666667,1,24,33.25312863,0
5000,26037,35000,1,4,12,0,0,182.6333333,0,13,33.25312863,0
5000,39000,50340,1,1,10,0,0,179.8333333,1.032749077,19,33.25312863,0
5000,74829.24905,26550,0,6,1.7,0,0,276.9666667,1,14,33.25312863,0
5000,70470,77908,0,6,5,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
5000,74829.24905,36375,1,6,3,0,0,266.8,1,26,33.25312863,0
5000,74225,89640,0,4,0.3,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
5000,74829.24905,65400,1,1,1.5,0,0,51.76666667,0,4,33.25312863,0
5000,78565,98500,0,4,24,0,0,51.76666667,3,14,33.25312863,0
5000,59900,80800,0,4,15,0,0,219.1333333,1,18,33.25312863,0
5000,78893,82600,1,2,16,0,0,133.9,1,34,39.38764489,1
5000,68000,75616,0,4,0.1,0,0,131.8666667,0,30,39.38764489,1
5000,71571,85100,0,4,1.4,0,1,82.13333333,0,13,39.38764489,1
5000,28000,36810,0,6,2,1,0,222.2,1,6,39.38764489,1
5000,81748,98172.84623,0,4,14,1,2,144.0666667,2,17,39.38764489,1
5000,44674,59375,1,1,10,0,0,178.6925087,1.032749077,19,26.44819746,0
5000,61999,75021.3,1,6,5,0,0,97.1,0,23,39.38764489,1
5000,80153,97275,0,6,1,0,0,120.6750632,2,10,37.51270841,0
5000,68739,93435,0,2,3,0,0,148.7204047,0,23,36.66927861,0
5000,51209,55320,0,6,5,0,1,69.1074656,1.032749077,15,35.02507297,0
5000,46696,85202,1,6,2,1,2,148.3406455,0,14,46.489874,1
5000,74829.24905,46281,1,6,2,0,0,257.6522064,0,26,40.95258888,0
5000,66435,82819,1,6,2,0,0,125.1306256,0,14,42.18353867,0
5100,85583,115341,1,4,7,0,0,177.9582551,1,28,26.25797013,0
5100,72891,80691,1,6,1,1,0,273.8817052,0,6,39.85214652,0
5100,30755,46735,1,6,10,0,0,69,0,17,39.38764489,1
5100,74829.24905,26715,0,6,1,0,0,258.7892976,0,14,26.72234334,0
5100,87258,121382,1,4,6,0,0,181.6630402,0,28,25.44475915,0
5100,74829.24905,28291,0,6,2,0,0,277.9445608,1,14,23.64469128,0
5100,9900,30451,1,6,11,0,0,21.2,0,2,39.38764489,1
5100,15500,34000,0,6,0,1,2,86.23333333,2,13,39.38764489,1
5100,129319,141875,1,3,7,1,0,157.8598021,0,36,25.65074122,1
5100,66834,87361,1,6,0,2,0,290.034108,0,6,38.76698507,0
5100,73882,96031,0,6,0,0,0,125.7874001,1,10,34.44607922,0
5100,74071,97064,0,6,0,0,0,121.0759726,2,9,36.40172955,0
5100,62702,79784,1,6,2,0,0,108.0725908,0,15,43.29013982,0
5200,74829.24905,36425,0,6,2,0,0,266.8134646,1,14,23.79740106,0
5200,67000,77000,1,6,9,0,1,119.7,0,25,33.25312863,0
5200,43039,53521,1,1,11,0,0,184.2966873,1.032749077,19,24.41476318,0
5200,69460.45297,9500,0,6,1,0,1,81.1,1,2,39.38764489,1
5200,91250,110000,1,1,24,0,0,123.7666667,1,12,33.25312863,0
5200,16324,45187,1,5,9.154940986,0,0,221.1180817,0,11,42.71209384,0
5300,73698,84427,0,6,4,0,0,187.0023549,1.032749077,21.31703607,19.13120118,0
5300,66987,65111,1,3,4,1,0,175.3287038,1,22,40.44257039,0
5300,26908,36078,1,6,8.027802491,0,0,302.3587095,0,8,39.1969854,1
5300,44993,50673,1,1,7,0,0,184.7427672,1.032749077,18,27.90612273,0
5300,51000,64000,1,2,10,1,0,98.33333333,0,12,39.38764489,1
5300,75958,91703,0,6,0,0,0,124.1821788,1,10,34.59906019,0
5300,97132,117343,1,1,22,0,0,109.9339079,1,11,35.8385427,0
5300,60826,80826,1,2,10,0,1,212.8917461,0,25,38.59149403,0
5300,83552,96809,0,4,0,0,0,187.0023549,1.032749077,21.31703607,28.42396191,0
5300,47449,63895,1,1,19,0,0,208.162714,0,20,19.7621137,0
5300,50934,62957,1,1,21,0,0,197.2419573,0,20,19.35050563,0
5400,53429,64505,0,6,5,0,0,69.54243011,1.032749077,16,36.4802363,0
5400,74829.24905,65474,1,1,1,0,0,40.709849,0,4,37.84877104,0
5400,47844,52040,1,1,8,0,0,189.0343046,1.032749077,18,24.70113626,0
5400,45509,57453,0,3,4,0,0,95.6,0,22,39.38764489,1
5400,59720,63450,1,4,5,0,1,199.9,1,20,39.38764489,1
5400,86922,119846,1,4,5,0,0,185.0763473,1,28,26.3548893,0
5400,68625,82304,0,3,2,0,0,136.6329442,0,30,32.05002349,0
5400,65814,85848,1,6,4,0,0,122.9402886,0,15,44.09232568,0
5400,74829.24905,75254,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,23.16374295,0
5400,78300,88000,1,4,8,0,0,102.5,3,19,39.38764489,1
5400,48152,55760,0,6,6,0,0,78.45212577,1.032749077,16,35.763638,0
5500,70481,82446,1,6,8,0,1,116.5919769,0,24,37.61268272,0
5500,74829.24905,35402,1,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,35.27207374,0
5500,87765,101053,0,4,22,0,0,55.55804904,2,13,31.37554242,0
5500,52897,65054,1,1,20,0,0,189.2953185,0,19,20.6541289,0
5500,24700,35675,0,6,1,0,3,153.9333333,3,27,39.38764489,1
5500,69460.45297,43132,1,6,8.027802491,0,0,150.1901834,1.782764811,21.21126761,39.38764489,1
5500,43486,81600,0,6,4,0,0,216.1333333,4,30,33.25312863,0
5500,69460.45297,13770,1,2,5,0,1,167.3666667,1,8,39.38764489,1
5500,93051,115374,1,4,6,0,0,187.0205188,1,27,27.64674851,0
5500,87438,116679,1,4,6,0,0,186.424416,1,27,28.4175309,0
5500,78059,78179,0,6,5,0,0,187.0023549,1.032749077,21.31703607,20.67931358,0
5500,72147,69918,1,3,4,2,0,158.5344979,0,23,43.40443024,0
5500,40584,46645,1,6,4,0,1,136.3206375,0,13,34.49470897,1
5500,69460.45297,12972,1,6,1,0,1,82.29426635,0,2,36.9867441,1
5500,37368,48502,1,2,9,0,2,48.995845,0,10,33.12648397,1
5500,74829.24905,66251,1,1,1,0,0,43.72233695,0,3,41.45204353,0
5500,71644,72696,1,3,4,2,0,150.8658451,0,22,40.44256779,0
5500,85845,122205,0,4,5,0,0,172.2132767,1,26,32.67664088,1
5600,53793,66379,1,1,22,0,0,206.0991341,0,19,18.36954053,0
5600,69435,83489,0,4,14,0,0,200.418434,1,17,22.84109285,0
5600,29648,39907,1,4,11,0,0,180.5630691,0,13,21.55494966,0
5600,76407,77485,1,6,9,0,0,91.68377063,0,24,37.77335098,0
5600,55160,86800,1,6,3,1,1,148.1333333,1,14,39.38764489,1
5600,41439,53893,1,1,8,0,0,181.3229899,1.032749077,19,24.65139574,0
5600,15275,47954,1,5,9.154940986,0,0,204.335245,0,12,42.39776964,0
5700,100934,111496,1,1,23,0,0,117.4995929,0,12,38.75056267,0
5700,74829.24905,74685,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,24.27486528,0
5700,49514,58249,1,1,21,0,0,212.5391151,0,21,21.25802688,0
5700,76948,85753,1,6,7,0,0,128.4764515,0,25,37.85968784,0
5700,28127,36524,1,4,10,0,0,181.2829568,0,13,24.33953357,0
5700,74829.24905,68591,1,1,0,0,0,69.64566047,0,4,41.18503956,0
5700,49806,82242,0,6,3,0,0,210.3474786,3,30,31.2434087,0
5700,70000,84579,0,3,0.1,0,0,95.9,1,17,39.38764489,1
5700,58400,75000,1,4,4,0,0,177.5,2,26,39.38764489,1
5700,80437,109647,1,4,9.5,0,0,104.4,0,14,39.38764489,1
5700,77213,92661,0,3,0,0,0,97.13317095,1,16,41.77788863,1
5700,62319,82923,1,6,4,0,0,117.6739652,0,15,42.46486629,0
5700,71556,79538,1,6,2,0,0,92.64308456,0,15,41.21001247,0
5700,74829.24905,39052,1,6,3,0,0,272.2206283,0,25,39.89610462,0
5700,74172,79846,0,4,0,0,0,157.0097747,0,28,47.41522866,1
5700,74829.24905,64910,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.85046122,0
5700,74829.24905,69172,1,1,1,0,0,48.85366706,0,3,38.77368596,0
5800,74829.24905,36385,1,6,2,0,0,266.5533944,1,25,43.30976454,0
5800,74829.24905,41119,1,6,2,0,0,261.4052186,0,26,42.19194156,0
5800,75000,90543,0,2,18,0,0,300.4872058,1,23,38.94057536,0
5800,79296,86885,0,2,19,0,1,307.9748816,1,23,39.95910877,0
5800,27791,46833,0,2,3,0,0,83.28906275,1,13,30.18780539,1
5800,74829.24905,34704,1,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,34.17405555,0
5800,74829.24905,73804,1,1,1,0,0,71.76655716,0,4,41.28742339,0
5800,46595,58191,1,6,5,0,0,80.13174641,0,17,24.14015367,0
5900,69460.45297,28000,0,5,1,2,1,36.76666667,1,8,39.38764489,1
5900,70973,77989,1,6,7,0,0,120.3794143,0,24,41.44250046,0
5900,69460.45297,33100,1,6,8.027802491,0,0,238.6,1,2,39.38764489,1
5900,82912,91175,0,4,2,0,0,187.0023549,1.032749077,21.31703607,27.59527352,0
5900,25972,41856,0,6,2,0,2,157.9600114,3,27,40.62827818,1
5900,74187,78976,1,6,9,0,1,118.442491,0,24,40.11040743,0
5900,74829.24905,66903,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,32.78292683,0
6000,74829.24905,69492,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,32.97719723,0
6000,95232,115977,1,1,22,0,0,149.0229081,1,12,37.95433691,0
6000,47625,85925,1,1,0.1,2,1,154.1333333,4,26,39.38764489,1
6000,65000,94355,0,6,26,1,3,69.3,1,34,39.38764489,1
6000,69460.45297,98172.84623,1,1,13,0,2,122.7666667,1.782764811,23,39.38764489,1
6000,33600,98172.84623,1,6,2,0,0,140.9333333,1,20,39.38764489,1
6000,42000,58305,0,6,19,0,0,90,2,13,39.38764489,1
6000,32446,54904,1,6,2,0,0,51.73333333,1,9,39.38764489,1
6000,9660,35900,0,6,8,0,1,136.3,3,6,39.38764489,1
6000,22859,32200,0,6,4,0,0,83.33333333,3,20,39.38764489,1
6000,16878,25850,0,2,1,0,1,218.6,5,34,39.38764489,1
6000,43000,57460,1,6,1.6,1,0,101.5,1.032749077,13,33.25312863,0
6000,53500,64790,0,6,0.1,0,2,105.4,3,18,33.25312863,0
6000,69876,94394.07,1,6,0,0,1,179.5666667,0,32,33.25312863,0
6000,51000,86125,1,4,6,0,0,222.1666667,2,24,33.25312863,0
6000,53227,68700,1,2,3,0,2,122.7333333,0,23,33.25312863,0
6000,74829.24905,43300,1,6,9.154940986,0,0,100.9333333,1.032749077,9,33.25312863,0
6000,14000,61493,1,1,23,0,0,321.6333333,1,13,33.25312863,0
6000,18793,27750,1,2,6,0,3,119.7,0,8,39.38764489,1
6000,69460.45297,95500,1,2,6,1,2,129.9,1,22,39.38764489,1
6000,79046,103048,1,6,0,0,0,181.696538,0,32,37.28998992,0
6000,74829.24905,53190,1,6,0,0,0,187.0023549,0,0,15.174415,0
6000,69460.45297,43683,1,6,8.027802491,0,0,150.1901834,1.782764811,21.21126761,21.93549881,1
6000,129731,154113,1,4,12,0,0,213.5333333,0,19,33.25312863,0
6100,74829.24905,47400,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,33.25312863,0
6100,91704,114799,1,1,22,0,0,129.2500896,1,12,36.74676624,0
6100,47604,54966,1,6,5,0,0,70.69532973,0,18,24.76674453,0
6100,74829.24905,35250,1,6,9.154940986,0,0,303,1.032749077,12,33.25312863,0
6100,62751,95617,1,6,1,0,0,138.6468632,1,13,31.75727069,1
6100,48300,53388,1,1,9,0,0,178.4896022,1.032749077,19,26.72002818,0
6100,68743,65321,1,3,3,1,0,153.0667831,0,22,40.15052706,0
6100,78753,95433,0,4,0,0,0,187.0023549,1.032749077,21.31703607,28.92511742,0
6100,77265,97944,0,4,0,0,0,187.0023549,1.032749077,21.31703607,28.87646306,0
6200,75657,84368,0,3,4,0,0,122.244945,0,30,32.55254334,0
6200,74829.24905,33909,1,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,34.51740452,0
6200,46601,59486,1,6,5,0,0,84.63211066,0,18,25.35001036,0
6200,60354,87596,1,4,5,0,0,210.1730647,2,23,34.05481124,0
6200,45356,82054,0,6,2,0,0,201.3344875,4,29,29.66171016,0
6200,74829.24905,41657,1,6,9.154940986,0,0,293.9587236,1.032749077,11,30.19763073,0
6200,69460.45297,98172.84623,0,5,3,0,0,80.5,2,17,39.38764489,1
6200,74829.24905,80078,0,6,9.154940986,0,0,187.0023549,1.032749077,21.31703607,25.37554416,0
6200,42100,57385,0,6,8.5,0,1,164.8,1,28,39.38764489,1
6200,70793,71552,1,3,3,2,0,162.9451569,0,23,40.31539659,0
6200,73881,98550,1,6,0,0,1,182.8787798,0,31,37.19944569,0
6200,45787,64854,0,6,4,0,1,63.11702323,1.032749077,16,36.53874734,0
6200,75121,96462,0,4,0,0,0,187.0023549,1.032749077,21.31703607,27.16765596,0
6200,133882,155222,1,4,9,0,0,212.5376432,0,19,20.61678366,0
6200,45564,61956,1,6,2,0,0,101.1670603,1.032749077,13,38.67514015,0
6300,99469,116260,1,1,23,0,0,124.7455955,1,12,35.64227011,0
6300,55000,69000,0,4,13,0,0,130.0666667,0,20,33.25312863,0
6300,74829.24905,72890,1,1,1,0,0,41.25011359,0,3,39.19806822,0
6300,44226,57779,0,6,7,0,0,63.62641325,1.032749077,16,33.11182911,0
6300,74829.24905,39050,1,6,9.154940986,0,0,294.4780476,1.032749077,12,31.44775041,0
6300,78724,80355,1,6,24,0,0,335.0741426,1,46,31.1772613,0
6300,59793,98314,0,5,2.2,0,0,120.7333333,0,8,39.38764489,1
6300,65875,76000,0,2,0.8,2,0,84,1,12,39.38764489,1
6300,45582,89005,0,6,2,0,0,209.3580469,4,30,29.59595551,0
6300,92659,117352,1,4,6,0,0,199.0119272,0,27,26.52004952,0
6300,79667,96988,0,4,1,0,0,187.0023549,1.032749077,21.31703607,29.83596072,0
6300,69357,73726,1,3,3,2,0,163.2839332,1,22,42.40781425,0
6400,25144,45200,1,6,25,0,2,128,4,17,39.38764489,1
6400,76577,83200,0,6,5,0,0,187.0023549,1.032749077,21.31703607,22.05503421,0
6400,47251,58157,1,6,0,0,0,104.7924684,1.032749077,13,36.41688697,0
6400,53476,70157,0,4,7,0,3,164.3154099,1,30,21.13798157,0
6400,81116,86148,1,4,8,0,0,262.1754261,0,11,42.06826818,0
6400,17491,63614,1,1,23,0,0,325.2993087,0,12,40.24440437,0
6400,65215,74332,1,2,9,0,1,213.8321032,0,24,40.64461955,0
6400,62746,75016,0,4,12,0,0,133.1015478,0,20,40.18812313,0
6400,76732,78084,1,6,8,0,0,109.1930214,0,26,37.96455432,0
6400,70035,78635,0,3,3,0,0,147.0771635,0,31,31.20612976,0
6400,39687,51666,1,1,9,0,0,177.591354,1.032749077,19,26.1209597,0
6400,51436,91284,0,6,4,0,0,209.6428984,2,30,31.97197121,0
6400,44968,62747,1,6,0,1,0,101.3914453,1.032749077,12,36.60294734,0
6400,9113,46351,1,5,9.154940986,0,0,202.2507958,0,11,45.11431939,0
6400,57887,74776,1,2,3,0,1,126.3286437,0,22,28.75634543,0
6500,47949,53102,1,1,9,0,0,180.8412499,1.032749077,19,27.83900666,0
6500,74829.24905,37448,1,6,9.154940986,0,0,333.2308999,1.032749077,11,29.01198058,0
6500,60054,70434,1,6,1,0,0,127.0627016,2,21,37.80035293,1
6500,80739,97630,0,4,1,0,0,187.0023549,1.032749077,21.31703607,30.53126454,0
6500,63144,76754,1,2,2,0,2,129.0777116,0,23,29.05543313,0
6500,33639,37345,1,4,11,0,0,191.0756559,0,13,24.22731934,0
6500,78741,90599,0,4,0,0,0,187.0023549,1.032749077,21.31703607,29.19886067,0
6500,51724,87770,0,6,4,0,0,209.3263116,4,29,30.3434486,0
6500,65000,80400,0,6,15,0,0,224.8666667,0,13,39.38764489,1
6500,22789,35836,1,1,1,0,0,110.5666667,2,30,33.25312863,0
6500,60000,70000,0,4,9,0,0,54.76666667,2,24,33.25312863,0
